trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
78014_02_41_38090,06:02:00,06:02:00,000000007800001,41,,3,3,,
78014_02_41_38090,06:03:00,06:03:00,000000040100001,42,,3,3,,
78014_02_41_38090,06:05:00,06:05:00,000000040000001,43,,3,3,,
78014_02_41_38090,06:06:00,06:06:00,000000020700001,44,,3,3,,
78014_02_41_38090,06:07:00,06:07:00,000000046700001,45,,3,3,,
78014_02_41_38090,06:07:00,06:07:00,000000044700001,46,,3,3,,
78014_02_41_38090,06:09:00,06:09:00,000000000600003,47,,3,3,,
78014_04_47_38091,06:12:00,06:12:00,000000051600003,12,,0,0,,
78014_04_47_38091,06:14:00,06:14:00,000000007100001,13,,3,3,,
78014_04_47_38091,06:15:00,06:15:00,000000010700001,14,,3,3,,
78014_04_47_38091,06:15:00,06:15:00,000000043400001,15,,3,3,,
78014_04_47_38091,06:16:00,06:16:00,000000037800001,16,,3,3,,
78014_04_47_38091,06:17:00,06:17:00,000000007800001,17,,3,3,,
78014_04_47_38091,06:18:00,06:18:00,000000040100001,18,,3,3,,
78014_04_47_38091,06:20:00,06:20:00,000000040000001,19,,3,3,,
78014_04_47_38091,06:21:00,06:21:00,000000020700001,20,,3,3,,
78014_04_47_38091,06:22:00,06:22:00,000000046700001,21,,3,3,,
78014_04_47_38091,06:22:00,06:22:00,000000044700001,22,,3,3,,
78014_04_47_38091,06:24:00,06:24:00,000000000600003,23,,3,3,,
78014_03_53_38092,06:27:00,06:27:00,000000051600003,36,,0,0,,
78014_03_53_38092,06:29:00,06:29:00,000000007100001,37,,3,3,,
78014_03_53_38092,06:30:00,06:30:00,000000010700001,38,,3,3,,
78014_03_53_38092,06:30:00,06:30:00,000000043400001,39,,3,3,,
78014_03_53_38092,06:31:00,06:31:00,000000037800001,40,,3,3,,
78014_03_53_38092,06:32:00,06:32:00,000000007800001,41,,3,3,,
78014_03_53_38092,06:33:00,06:33:00,000000040100001,42,,3,3,,
78014_03_53_38092,06:35:00,06:35:00,000000040000001,43,,3,3,,
78014_03_53_38092,06:36:00,06:36:00,000000020700001,44,,3,3,,
78014_03_53_38092,06:37:00,06:37:00,000000046700001,45,,3,3,,
78014_03_53_38092,06:38:00,06:38:00,000000044700001,46,,3,3,,
78014_03_53_38092,06:40:00,06:40:00,000000000600003,47,,3,3,,
78014_05_59_38093,06:41:00,06:41:00,000000051600003,12,,0,0,,
78014_05_59_38093,06:43:00,06:43:00,000000007100001,13,,3,3,,
78014_05_59_38093,06:44:00,06:44:00,000000010700001,14,,3,3,,
78014_05_59_38093,06:45:00,06:45:00,000000043400001,15,,3,3,,
78014_05_59_38093,06:46:00,06:46:00,000000037800001,16,,3,3,,
78014_05_59_38093,06:47:00,06:47:00,000000007800001,17,,3,3,,
78014_05_59_38093,06:48:00,06:48:00,000000040100001,18,,3,3,,
78014_05_59_38093,06:50:00,06:50:00,000000040000001,19,,3,3,,
78014_05_59_38093,06:51:00,06:51:00,000000020700001,20,,3,3,,
78014_05_59_38093,06:52:00,06:52:00,000000046700001,21,,3,3,,
78014_05_59_38093,06:53:00,06:53:00,000000044700001,22,,3,3,,
78014_05_59_38093,06:55:00,06:55:00,000000000600003,23,,3,3,,
78014_04_65_38094,06:56:00,06:56:00,000000051600003,36,,0,0,,
78014_04_65_38094,06:58:00,06:58:00,000000007100001,37,,3,3,,
78014_04_65_38094,06:59:00,06:59:00,000000010700001,38,,3,3,,
78014_04_65_38094,07:00:00,07:00:00,000000043400001,39,,3,3,,
78014_04_65_38094,07:01:00,07:01:00,000000037800001,40,,3,3,,
78014_04_65_38094,07:02:00,07:02:00,000000007800001,41,,3,3,,
78014_04_65_38094,07:03:00,07:03:00,000000040100001,42,,3,3,,
78014_04_65_38094,07:05:00,07:05:00,000000040000001,43,,3,3,,
78014_04_65_38094,07:06:00,07:06:00,000000020700001,44,,3,3,,
78014_04_65_38094,07:07:00,07:07:00,000000046700001,45,,3,3,,
78014_04_65_38094,07:08:00,07:08:00,000000044700001,46,,3,3,,
78014_04_65_38094,07:10:00,07:10:00,000000000600003,47,,3,3,,
78014_01_71_38095,07:11:00,07:11:00,000000051600003,12,,0,0,,
78014_01_71_38095,07:13:00,07:13:00,000000007100001,13,,3,3,,
78014_01_71_38095,07:14:00,07:14:00,000000010700001,14,,3,3,,
78014_01_71_38095,07:15:00,07:15:00,000000043400001,15,,3,3,,
78014_01_71_38095,07:16:00,07:16:00,000000037800001,16,,3,3,,
78014_01_71_38095,07:17:00,07:17:00,000000007800001,17,,3,3,,
78014_01_71_38095,07:18:00,07:18:00,000000040100001,18,,3,3,,
78014_01_71_38095,07:20:00,07:20:00,000000040000001,19,,3,3,,
78014_01_71_38095,07:21:00,07:21:00,000000020700001,20,,3,3,,
78014_01_71_38095,07:22:00,07:22:00,000000046700001,21,,3,3,,
78014_01_71_38095,07:23:00,07:23:00,000000044700001,22,,3,3,,
78014_01_71_38095,07:25:00,07:25:00,000000000600003,23,,3,3,,
78014_05_77_38096,07:26:00,07:26:00,000000051600003,36,,0,0,,
78014_05_77_38096,07:28:00,07:28:00,000000007100001,37,,3,3,,
78014_05_77_38096,07:29:00,07:29:00,000000010700001,38,,3,3,,
78014_05_77_38096,07:30:00,07:30:00,000000043400001,39,,3,3,,
78014_05_77_38096,07:31:00,07:31:00,000000037800001,40,,3,3,,
78014_05_77_38096,07:32:00,07:32:00,000000007800001,41,,3,3,,
78014_05_77_38096,07:33:00,07:33:00,000000040100001,42,,3,3,,
78014_05_77_38096,07:35:00,07:35:00,000000040000001,43,,3,3,,
78014_05_77_38096,07:36:00,07:36:00,000000020700001,44,,3,3,,
78014_05_77_38096,07:37:00,07:37:00,000000046700001,45,,3,3,,
78014_05_77_38096,07:38:00,07:38:00,000000044700001,46,,3,3,,
78014_05_77_38096,07:40:00,07:40:00,000000000600003,47,,3,3,,
78014_02_83_38097,07:41:00,07:41:00,000000051600003,12,,0,0,,
78014_02_83_38097,07:43:00,07:43:00,000000007100001,13,,3,3,,
78014_02_83_38097,07:44:00,07:44:00,000000010700001,14,,3,3,,
78014_02_83_38097,07:45:00,07:45:00,000000043400001,15,,3,3,,
78014_02_83_38097,07:46:00,07:46:00,000000037800001,16,,3,3,,
78014_02_83_38097,07:47:00,07:47:00,000000007800001,17,,3,3,,
78014_02_83_38097,07:48:00,07:48:00,000000040100001,18,,3,3,,
78014_02_83_38097,07:50:00,07:50:00,000000040000001,19,,3,3,,
78014_02_83_38097,07:51:00,07:51:00,000000020700001,20,,3,3,,
78014_02_83_38097,07:52:00,07:52:00,000000046700001,21,,3,3,,
78014_02_83_38097,07:53:00,07:53:00,000000044700001,22,,3,3,,
78014_02_83_38097,07:55:00,07:55:00,000000000600003,23,,3,3,,
78014_01_89_38098,07:56:00,07:56:00,000000051600003,36,,0,0,,
78014_01_89_38098,07:58:00,07:58:00,000000007100001,37,,3,3,,
78014_01_89_38098,07:59:00,07:59:00,000000010700001,38,,3,3,,
78014_01_89_38098,08:00:00,08:00:00,000000043400001,39,,3,3,,
78014_01_89_38098,08:01:00,08:01:00,000000037800001,40,,3,3,,
78014_01_89_38098,08:02:00,08:02:00,000000007800001,41,,3,3,,
78014_01_89_38098,08:03:00,08:03:00,000000040100001,42,,3,3,,
78014_01_89_38098,08:05:00,08:05:00,000000040000001,43,,3,3,,
78014_01_89_38098,08:06:00,08:06:00,000000020700001,44,,3,3,,
78014_01_89_38098,08:07:00,08:07:00,000000046700001,45,,3,3,,
78014_01_89_38098,08:08:00,08:08:00,000000044700001,46,,3,3,,
78014_01_89_38098,08:10:00,08:10:00,000000000600003,47,,3,3,,
78014_03_95_38099,08:11:00,08:11:00,000000051600003,12,,0,0,,
78014_03_95_38099,08:13:00,08:13:00,000000007100001,13,,3,3,,
78014_03_95_38099,08:14:00,08:14:00,000000010700001,14,,3,3,,
78014_03_95_38099,08:15:00,08:15:00,000000043400001,15,,3,3,,
78014_03_95_38099,08:16:00,08:16:00,000000037800001,16,,3,3,,
78014_03_95_38099,08:17:00,08:17:00,000000007800001,17,,3,3,,
78014_03_95_38099,08:18:00,08:18:00,000000040100001,18,,3,3,,
78014_03_95_38099,08:20:00,08:20:00,000000040000001,19,,3,3,,
78014_03_95_38099,08:21:00,08:21:00,000000020700001,20,,3,3,,
78014_03_95_38099,08:22:00,08:22:00,000000046700001,21,,3,3,,
78014_03_95_38099,08:23:00,08:23:00,000000044700001,22,,3,3,,
78014_03_95_38099,08:25:00,08:25:00,000000000600003,23,,3,3,,
78014_02_103_38100,08:26:00,08:26:00,000000051600003,36,,0,0,,
78014_02_103_38100,08:28:00,08:28:00,000000007100001,37,,3,3,,
78014_02_103_38100,08:29:00,08:29:00,000000010700001,38,,3,3,,
78014_02_103_38100,08:30:00,08:30:00,000000043400001,39,,3,3,,
78014_02_103_38100,08:31:00,08:31:00,000000037800001,40,,3,3,,
78014_02_103_38100,08:32:00,08:32:00,000000007800001,41,,3,3,,
78014_02_103_38100,08:33:00,08:33:00,000000040100001,42,,3,3,,
78014_02_103_38100,08:35:00,08:35:00,000000040000001,43,,3,3,,
78014_02_103_38100,08:36:00,08:36:00,000000020700001,44,,3,3,,
78014_02_103_38100,08:37:00,08:37:00,000000046700001,45,,3,3,,
78014_02_103_38100,08:38:00,08:38:00,000000044700001,46,,3,3,,
78014_02_103_38100,08:40:00,08:40:00,000000000600003,47,,3,3,,
78014_04_109_38101,08:41:00,08:41:00,000000051600003,12,,0,0,,
78014_04_109_38101,08:43:00,08:43:00,000000007100001,13,,3,3,,
78014_04_109_38101,08:44:00,08:44:00,000000010700001,14,,3,3,,
78014_04_109_38101,08:45:00,08:45:00,000000043400001,15,,3,3,,
78014_04_109_38101,08:46:00,08:46:00,000000037800001,16,,3,3,,
78014_04_109_38101,08:47:00,08:47:00,000000007800001,17,,3,3,,
78014_04_109_38101,08:48:00,08:48:00,000000040100001,18,,3,3,,
78014_04_109_38101,08:50:00,08:50:00,000000040000001,19,,3,3,,
78014_04_109_38101,08:51:00,08:51:00,000000020700001,20,,3,3,,
78014_04_109_38101,08:52:00,08:52:00,000000046700001,21,,3,3,,
78014_04_109_38101,08:53:00,08:53:00,000000044700001,22,,3,3,,
