route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
80986,Leto_1,80986_02_413_28476,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_415_28477,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_417_28478,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_419_28479,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_421_28480,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_4_28481,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_8_28482,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_10_28483,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_12_28484,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_16_28485,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_24_28486,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_34_28487,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_38_28488,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_46_28489,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_05_52_28490,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_58_28491,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_64_28492,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_70_28493,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_74_28494,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_82_28495,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_90_28496,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_96_28497,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_104_28498,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_106_28499,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_01_114_28500,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_118_28501,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_122_28502,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_128_28503,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_134_28504,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_140_28505,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_144_28506,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_148_28507,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_156_28508,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_160_28509,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_02_164_28510,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_166_28511,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_168_28512,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_172_28513,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_176_28514,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_182_28515,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_188_28516,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_194_28517,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_03_198_28518,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_202_28519,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_206_28520,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_210_28521,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_01_214_28522,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_218_28523,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_222_28524,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_226_28525,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_02_230_28526,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_234_28527,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_238_28528,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_242_28529,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_03_246_28530,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_250_28531,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_254_28532,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_258_28533,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_01_262_28534,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_266_28535,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_270_28536,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_276_28537,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_278_28538,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_282_28539,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_02_284_28540,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_288_28541,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_290_28542,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_294_28543,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_296_28544,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_300_28545,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_302_28546,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_306_28547,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_03_308_28548,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_312_28549,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_316_28550,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_320_28551,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_322_28552,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_326_28553,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_328_28554,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_332_28555,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_01_334_28556,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_338_28557,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_340_28558,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_344_28559,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_346_28560,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_350_28561,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_352_28562,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_06_356_28563,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_02_358_28564,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_362_28565,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_05_364_28566,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_368_28567,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_370_28568,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_374_28569,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_06_376_28570,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_05_380_28571,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_03_382_28572,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_386_28573,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_04_388_28574,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_392_28575,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_396_28576,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_04_400_28577,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_01_402_28578,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_404_28579,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_406_28580,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_408_28581,Kollárovo nám.,,1,,AUT_00324,1,
80986,Leto_1,80986_02_410_28582,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_412_28583,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_414_28584,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_416_28585,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_418_28586,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_420_28587,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_422_28588,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_03_424_28589,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_01_426_28590,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_02_428_28591,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_03_430_28592,Kollárovo nám.,,1,,AUT_00323,1,
80986,Leto_1,80986_01_432_28593,Kollárovo nám.,,1,,AUT_00322,1,
80986,Leto_1,80986_02_436_28594,Kollárovo nám.,,1,,AUT_00323,1,
80986,Soboty_2,80986_01_3_28595,Kapitulský dvor,,0,,AUT_00319,1,
80986,Soboty_2,80986_03_5_28596,Nesto,,0,,AUT_00320,1,
80986,Soboty_2,80986_02_9_28597,Kapitulský dvor,,0,,AUT_00319,1,
80986,Soboty_2,80986_01_13_28598,Nesto,,0,,AUT_00320,1,
80986,Soboty_2,80986_03_19_28599,Kapitulský dvor,,0,,AUT_00319,1,
80986,Soboty_2,80986_02_27_28600,Nesto,,0,,AUT_00320,1,
80986,Soboty_2,80986_01_39_28601,Kapitulský dvor,,0,,AUT_00319,1,
